Datum,text
2017-01-19 18:20:00,19:20 okres Košice III - prebieha policajná kontrola
2017-01-19 17:54:48,18:54 okres Košice IV - prebieha policajná kontrola
2017-01-19 17:11:35,"18:11 Železničná, Krakovany - nehoda, nehoda vozidla hromadnej dopravy"
2017-01-19 16:47:47,"17:47 Breziny, okres Zvolen - nehoda"
2017-01-19 16:38:57,"17:38 Šarišský Štiavnik 67, Šarišský Štiavnik - prekážka - pokazené vozidlo"
2017-01-19 16:09:42,"17:09 Ondrej nad Hronom 801, Ondrej nad Hronom, Brusno - nehoda nákladného vozidla"
2017-01-19 15:38:19,"16:38 Slanecká, Košice - nehoda"
2017-01-19 15:06:49,16:06 okres Partizánske - prebieha policajná kontrola
2017-01-19 15:00:16,"16:00 Radošovce, okres Trnava - prebieha policajná kontrola"
2017-01-19 14:59:13,"15:59 Banské, okres Vranov nad Topľou - jazdite mimoriadne opatrne"
2017-01-19 14:38:38,"15:38 Slanecká, Košice - nehoda"
2017-01-19 14:36:11,"15:36 Nitrica, okres Prievidza - nehoda, nehoda nákladného vozidla"
2017-01-19 14:06:56,"15:06 Piešťanská, Nové Mesto nad Váhom - nehoda, nehoda - zrážka najmenej dvoch vozidiel"
2017-01-19 14:02:45,"15:02 Železničná, Krakovany - nehoda, nehoda vozidla hromadnej dopravy, nehoda - zrážka najmenej dvoch vozidiel"
2017-01-19 13:56:04,"14:56 Od  Bratislava-Čunovo, okres Bratislava V, do  Závod, okres Malacky - prebieha policajná kontrola"
2017-01-19 13:44:22,14:44 okres Bánovce nad Bebravou - prebieha policajná kontrola
2017-01-19 13:39:52,14:39 okres Nové Zámky - prebieha policajná kontrola
2017-01-19 13:29:32,14:29 okres Považská Bystrica - prebieha policajná kontrola
2017-01-19 13:14:42,"14:14 Štúrova 820/44B, Senec - nehoda, nehoda - zrážka najmenej dvoch vozidiel, hromadná nehoda"
2017-01-19 13:09:39,"14:09 Sereďská 287, Šoporňa - nehoda"
2017-01-19 12:58:06,"13:58 Kľačany 292, Kľačany - prebieha policajná kontrola"
2017-01-19 12:56:57,"13:56 Bajč, okres Komárno - prebieha policajná kontrola"
2017-01-19 12:45:39,"13:45 Námestie slobody 68/68, Sabinov - prebieha policajná kontrola"
2017-01-19 11:18:41,"12:18 Komárňanská cesta 203/101, Dolný Štál - prebieha strihanie kríkov alebo stromov"
2017-01-19 10:34:11,"11:34 Bidovce, okres Košice - okolie - nehoda"
2017-01-19 10:30:12,"11:30 Janov 53, Janov - prebieha policajná kontrola"
2017-01-19 10:28:50,"11:28 Sv. Anny, Podolínec - prebieha policajná kontrola"
2017-01-19 10:27:09,"11:27 Jánošíkova 1107/120, Lipany - prebieha policajná kontrola"
2017-01-19 10:05:00,"11:05 Od  Považská Bystrica, do  Milochov 12, Milochov, Považská Bystrica - prebiehajú stavebné práce"
2017-01-19 09:46:46,"10:46 Od  Vrútky, okres Martin, do  Strečno, okres Žilina - prebieha obnova povrchu vozovky"
2017-01-19 09:42:15,"10:42 Od  Ľavobrežná, Žilina, do  Ľavobrežná, Žilina - prebieha obnova povrchu vozovky"
2017-01-19 09:41:42,"10:41 Od  Čremošné 98, Čremošné, do  Harmanecká cesta, Banská Bystrica - nehoda - skrížená jazdná súprava"
2017-01-19 09:29:14,"10:29 Dlhá nad Váhom 176, Dlhá nad Váhom - prebieha policajná kontrola"
2017-01-19 09:27:25,"10:27 Novozámocká 182/102, Bohatá, Hurbanovo - prebieha policajná kontrola"
2017-01-19 09:14:10,"10:14 Aleja slobody 1870/2, Dolný Kubín - prebieha policajná kontrola"
2017-01-19 09:04:50,"10:04 Od  Sládkovičova 285, Tisovec, do  Hlavná, Pohronská Polhora - použite protišmykové reťaze"
2017-01-19 08:43:39,"09:43 Od  Hlavná 104/6, Kapušany, do  Hlavná 327/41, Vyšné Raslavice, Raslavice - prebieha policajná kontrola"
2017-01-19 08:26:30,"09:26 Od  Levoča, do  Svinia, okres Prešov - prebiehajú bližšie neurčené práce na ceste"
2017-01-19 07:24:34,"08:24 Ždiar, okres Poprad - prebieha policajná kontrola"
2017-01-19 06:52:25,"07:52 572: Ráztočná, Bratislava - Vrakuňa - pomalá premávka"
2017-01-19 05:44:02,"06:44 Od  Párnica 252, Párnica, do  Zázrivá Stred 24, Zázrivá - Stred, Zázrivá - poľadovica"
2017-01-19 05:33:47,"06:33 Od  Príbovce, okres Martin, do  Kollárova 9808/85B, Jahodníky, Martin - prebieha policajná kontrola"
2017-01-19 05:33:34,"06:33 Od  Dolný Hričov, okres Žilina, do  Beluša, okres Púchov - prebieha policajná kontrola"
2017-01-19 05:32:31,"06:32 Od  Liptovský Mikuláš, do  Výroška, Liptovský Hrádok - prebieha policajná kontrola"
2017-01-19 05:31:01,"06:31 Korytnická, Biely Potok, Ružomberok - prebieha policajná kontrola"
2017-01-19 05:30:36,"06:30 Od  Námestie slobody 84/7, Čadca, do  Svrčinovec 199, Svrčinovec - prebieha policajná kontrola"
2017-01-19 05:29:29,"06:29 Od  Demänovská cesta 865/76, Liptovský Mikuláš, do  Demänovská Dolina, okres Liptovský Mikuláš - prebieha policajná kontrola"
2017-01-19 05:29:26,"06:29 Od  Žilina, do  Strečno, okres Žilina - prebieha policajná kontrola"
2017-01-19 05:13:03,"06:13 Levice, Nitriansky - nepriaznivé počasie - extrémne mrazy"
2017-01-19 05:12:59,"06:12 Žilina, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 05:12:13,"06:12 Rimavská Sobota, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-19 05:11:51,"06:11 Trenčín, Trenčiansky - nepriaznivé počasie - extrémne mrazy"
2017-01-19 05:11:43,"06:11 Martin, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 05:11:35,"06:11 Banská Bystrica, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-19 05:11:35,"06:11 Nitra, Nitriansky - nepriaznivé počasie - extrémne mrazy"
2017-01-19 05:11:34,"06:11 Liptovský Mikuláš, Žilinský - nepriaznivé počasie - extrémne mrazy"
